series_id,series_name,quarters_seen,quarters_near_ceiling,quarters_below_90pct,max_on_loan_pct_nav,min_coverage
S000057714,AlphaCentric Robotics and Automation Fund,4,4,0,0.4340345137755853,0.9510482166639614
S000042863,iShares Interest Rate Hedged High Yield Bond ETF,4,4,0,0.4496776578775711,1.02113406433569
S000058011,iShares Inflation Hedged Corporate Bond ETF,4,4,0,0.4504868931051135,1.0214762010257925
S000042862,iShares Interest Rate Hedged Corporate Bond ETF,4,4,0,0.4670764315094704,1.0216119579558716
S000072498,Atac Credit Rotation ETF,3,3,0,0.500241719255059,1.021113484981777
S000086332,BlackRock LifePath ESG Index 2070 Fund,4,2,0,0.44059366598665195,1.0074453382609443
S000044145,iShares Interest Rate Hedged Long-Term Corporate Bond ETF,4,2,0,0.44736238911625686,1.0258504323731557
S000071104,Quantified Tactical Sectors Fund,4,2,0,0.5085680026045091,0.9914044961097273
S000075577,Kensington Active Advantage Fund,3,2,0,0.44232746693263747,1.0094297538261263
S000045356,BlackRock 60/40 Target Allocation ETF V.I. Fund,4,1,1,0.3625868468710505,0.8007060739005674
S000087687,3EDGE Dynamic US Equity ETF,4,1,0,0.3851482852010845,1.0018037845364662
S000002227,PSF Small-Cap Stock Index Portfolio,4,1,0,0.3429683087183094,0.9020169466895346
S000069130,BlackRock LifePath ESG Index 2055 Fund,4,1,0,0.338149319218391,1.0076864404942907
S000069131,BlackRock LifePath ESG Index 2060 Fund,4,1,0,0.3863286495931353,1.007385482775795
S000035095,Dynamic International Opportunity Fund,4,1,0,0.33337535198756635,0.9925790974749079
S000029686,Donoghue Forlines Tactical Income Fund,3,1,0,0.3317040695954262,1.0214618386481022
S000028294,Invesco S&P SmallCap Consumer Discretionary ETF,4,1,0,0.34054766517948715,0.9962132307594664
S000076483,iShares Neuroscience and Healthcare ETF,4,1,0,0.37347776853598325,0.9662626897568823
S000033060,SPDR SSGA Income Allocation ETF,4,1,0,0.3568783287527261,1.016296795904149
S000075811,iShares Blockchain and Tech ETF,4,1,0,0.43843194148769077,0.9544232742483296
S000044409,iShares Yield Optimized Bond ETF,4,1,0,0.33454669785160907,0.9298393821278758
S000054091,SPDR(R) SSGA U.S. Sector Rotation ETF,4,1,0,0.3753817115861363,1.0041308307058472
S000050364,Tactical Dividend & Momentum Fund,4,1,0,0.46058758548758566,1.0206994865148216
S000057567,iShares Russell 2500 ETF,4,1,0,0.4160451675588644,0.9993842732063019
S000067384,AdvisorShares Dorsey Wright FSM US Core ETF,4,1,0,0.4903231033088259,0.9887172582672277
S000069123,BlackRock LifePath ESG Index 2065 Fund,4,1,0,0.3831348595084669,1.0073528731486183
S000041789,Quantified Managed Income Fund,4,1,0,0.3635878535871209,1.0146286668196611
S000069129,BlackRock LifePath ESG Index 2050 Fund,4,1,0,0.34633751815404923,1.0117504099411305
S000084615,Draco Evolution AI ETF,1,1,0,0.45715726165514303,1.0272991016225632
S000041791,Quantified Market Leaders Fund,4,1,0,0.39746681922623966,0.9914044961097273
S000069126,BlackRock LifePath ESG Index 2035 Fund,4,1,0,0.3642349580357332,1.0132234521843635
S000070111,AdvisorShares Q Dynamic Growth ETF,4,1,0,0.47397366233966404,0.9828943356394526
S000075902,Fidelity Crypto Industry and Digital Payments ETF,4,1,0,0.3655392019229771,0.9599809135694761
S000043043,iShares Currency Hedged MSCI Japan ETF,4,1,0,0.47044319948570334,1.0100749227582129
S000069128,BlackRock LifePath ESG Index 2045 Fund,4,1,0,0.3475102655737386,1.0158216233221051
S000061597,GuidePath Income Fund,3,1,0,0.3300664332284044,1.0214514248349709
S000033464,GMO Benchmark-Free Fund,4,0,4,0.061998194531869055,0.17008611992954015
S000001571,Tax-Managed U.S. Mid & Small Cap Fund,4,0,4,1.3483692781671788e-07,0.00017699115044247788
S000036091,GMO Implementation Fund,4,0,4,0.09434046598716431,0.17438371248619108
S000000980,U.S. CORE EQUITY 2 PORTFOLIO,4,0,3,0.054956361301012946,0.34307624537332937
S000002107,"T. Rowe Price Real Estate Fund, Inc.",4,0,2,0.032949894999937404,0.7134177982004564
S000002874,BlackRock Managed Volatility V.I. Fund,4,0,2,0.018717700999974322,0.7606383913477412
S000058482,JNL S&P 500 Index Fund,4,0,2,0.0038143036758445563,0.6359077308187211
S000004449,VANGUARD FINANCIALS INDEX FUND,4,0,2,0.0012012412516613606,0.6212150592613588
S000002839,VANGUARD 500 INDEX FUND,4,0,2,7.454688704250176e-05,0.15240645916597842
S000006792,AST Multi-Asset Diversified Plus Portfolio,4,0,2,0.054894102736071614,0.5959638672900553
S000000979,U.S. CORE EQUITY 1 PORTFOLIO,4,0,2,0.029239966030829415,0.7729833820367127
S000073781,Catholic Responsible Investments Bond Fund,3,0,2,0.00472276890588968,0.8237695331113614
S000043713,AST J.P. Morgan Aggressive Multi-Asset Portfolio,4,0,2,0.06878010294559041,0.3228586981341861
S000052904,T. Rowe Price Integrated U.S. Small-Mid Cap Core Equity Fund,4,0,2,0.02068834670600887,0.22640938453022083
S000012757,VANGUARD MID-CAP VALUE INDEX FUND,2,0,2,0.0009171917714634045,0.17965587044534412
S000043468,PGIM Jennison Energy Infrastructure Fund,4,0,2,0.04298125249262564,0.6678906312849894
S000004417,VANGUARD WINDSOR FUND,4,0,2,0.0012733555358495673,0.07167497139307032
S000070236,Fidelity Fundamental Small-Mid Cap ETF,2,0,2,0.018186284246814073,0.5820624803796881
S000001870,BlackRock Tactical Opportunities Fund,4,0,2,0.001646800361418938,0.35873994708385776
S000004409,VANGUARD SELECTED VALUE FUND,4,0,2,0.0011532159726360693,0.7093836252698268
S000004751,PGIM Jennison Focused Growth Fund,4,0,2,0.04207532985976833,0.6346655215183039
S000044406,PGIM Jennison Rising Dividend Fund,4,0,2,0.10442525353355299,0.5156586421705365
S000031888,AST Quantitative Modeling Portfolio,4,0,2,0.011653899508854225,0.7258675283043903
S000092023,T. Rowe Price Health Care ETF,2,0,2,0.011979572006851165,0.41845360297502066
S000002125,"T. Rowe Price Value Fund, Inc.",4,0,1,0.005264647091182682,0.6195783926135886
S000050053,PGIM Strategic Bond Fund,4,0,1,0.009620105686415824,0.8969214235039207
S000054753,Fidelity Quality Factor ETF,4,0,1,0.0038771620941751707,0.8602354092367046
S000004441,VANGUARD MATERIALS INDEX FUND,4,0,1,0.00518693704786073,0.11659451268207278
S000011761,Payden Core Bond Fund,4,0,1,0.0096826508118784,0.7311770817369111
S000002071,T. Rowe Price U.S. Equity Research Fund,4,0,1,0.0040586463471936245,0.5064519408137427
S000005666,Putnam Global Health Care Fund,4,0,1,0.00888465082854272,0.1986225810617432
S000004445,VANGUARD UTILITIES INDEX FUND,4,0,1,0.0028140515577891588,0.29930876386898186
S000001498,T. Rowe Price International Value Equity Fund,4,0,1,0.040720572438363516,0.6833796198483604
S000067234,iShares U.S. Tech Breakthrough Multisector ETF,4,0,1,0.04347946839008919,0.8684554825522433
S000047012,BlackRock Dynamic High Income Portfolio,4,0,1,0.01495049119563705,0.033117740369279954
S000004322,iShares U.S. Financial Services ETF,4,0,1,0.009367936222874585,0.8827004123597736
S000051381,AMG River Road Focused Absolute Value Fund,4,0,1,0.09746078701883829,0.8887924801442296
S000002842,VANGUARD GROWTH INDEX FUND,4,0,1,0.000495969646231869,0.7954747301262025
S000066518,Global X Video Games & Esports ETF,4,0,1,0.0875820330900714,0.011065548520085398
S000017267,PRAXIS SMALL CAP INDEX FUND,4,0,1,0.13519053402134687,0.47755044819476744
S000073787,Catholic Responsible Investments International Equity Fund,2,0,1,0.01848211262175329,0.6378714030839698
S000081193,Global X Defense Tech ETF,2,0,1,0.011249906841634388,0.811993362733027
S000019457,VANGUARD MARKET NEUTRAL FUND,1,0,1,0.001100381391369525,0.003851654692014184
S000004657,PGIM Jennison Mid-Cap Growth Fund,4,0,1,0.11345582375422957,0.8569232092659042
S000058280,T. Rowe Price International Bond Fund (USD Hedged),4,0,1,0.003523143578840848,0.8851349544054975
S000051326,T. Rowe Price Mid-Cap Index Fund,4,0,1,0.05104214709555219,0.8755287679390823
S000002079,T. Rowe Price Moderate Allocation Portfolio,4,0,1,0.00555938929160194,0.8467392237635203
S000002840,VANGUARD VALUE INDEX FUND,3,0,1,0.00015630642583656335,0.0884481238395328
S000068122,JNL/Mellon Consumer Discretionary Sector Fund,4,0,1,0.007762952343567557,0.7989596033004602
S000002138,T. Rowe Price Spectrum Moderate Growth Allocation Fund,4,0,1,0.0062736712056821655,0.7387084407872042
S000000987,U.S. SMALL CAP VALUE PORTFOLIO,4,0,1,0.05444632565458665,0.8781682014767245
S000062358,BlackRock Strategic Income Opportunities Portfolio,4,0,1,0.01364821073546251,0.8684123706873974
S000004430,iShares Morningstar Mid-Cap Growth ETF,4,0,1,0.029687185761414003,0.8586037470710709
S000002200,PSF PGIM Jennison Growth Portfolio,4,0,1,0.015627330629626533,0.6544453038562849
S000002225,PSF PGIM Flexible Managed Portfolio,4,0,1,0.019595753087291147,0.8944067026884229
S000004451,VANGUARD INDUSTRIALS INDEX FUND,4,0,1,0.0011047026514561249,0.850705046310058
S000005325,Fidelity Advisor Industrials Fund,4,0,1,0.04225925875690036,0.6526358894371964
S000064654,Invesco V.I. Discovery Large Cap Fund,4,0,1,0.05071998239891061,0.8304099952776934
S000001488,T. Rowe Price Emerging Europe Fund,3,0,1,0.030937839901097153,0.873763132186633
S000024038,"T. Rowe Price Global Real Estate Fund, Inc.",3,0,1,0.03520886647846867,0.7698079768504491
S000050390,T. Rowe Price Emerging Markets Discovery Stock Fund,4,0,1,0.011928771178691544,0.6380776206060611
S000002853,VANGUARD INSTITUTIONAL INDEX FUND,3,0,1,5.618390154274101e-05,0.0044925621826715206
S000007475,Select Banking Portfolio,4,0,1,0.03434101996579338,0.4074952240020751
S000058135,Invesco S&P 500 Minimum Variance ETF,3,0,1,0.05169766785330125,0.4643219081995541
S000058486,JNL/Mellon Real Estate Sector Fund,4,0,1,0.02219351866493929,0.8467116562498529
S000030002,VANGUARD RUSSELL 1000 GROWTH INDEX FUND,4,0,1,0.00031605245006298004,0.7898541773672496
S000001975,BlackRock Advantage Large Cap Value Fund,4,0,1,0.003700667140477818,0.7853940737411138
S000028677,iShares MSCI Brazil Small-Cap ETF,4,0,1,0.012823872775397812,0.8881936230787307
S000035919,iShares U.S. Treasury Bond ETF,4,0,1,0.002575701133607762,0.18075981639214841
S000058485,JNL/Mellon Industrials Sector Fund,4,0,1,0.0062748209722880526,0.41714606917186603
S000029428,"T. Rowe Price Real Assets Fund, Inc.",4,0,1,0.03490333610950632,0.8312112663906592
S000003854,Putnam Small Cap Value Fund,4,0,1,0.1064024810770313,0.30493834052422375
S000002560,VANGUARD BALANCED INDEX FUND,4,0,1,0.0012677721811365104,0.7929632732765912
S000042659,ROBO Global Robotics and Automation Index ETF,4,0,1,0.09057017464262383,0.3176544968445259
S000068131,JNL/Newton Equity Income Fund,3,0,1,0.00043532620240474556,0.6687650026898878
S000001977,AST Large-Cap Value Portfolio,4,0,1,0.10895308017606269,0.8917314143936932
S000014609,Nuveen Small/Mid Cap Value Fund,2,0,1,0.0251164159434115,0.17341998189419797
S000001505,BlackRock Mid-Cap Growth Equity Portfolio,4,0,1,0.03703512448051926,0.8524327905810829
S000062123,PGIM Jennison Technology Fund,4,0,1,0.09393543200125688,0.4115807732755771
S000059763,Fidelity SAI U.S. Value Index Fund,4,0,1,0.01311733769601236,0.7864944196099007
S000019378,AST J.P. Morgan Moderate Multi-Asset Portfolio,4,0,1,0.06002868808496831,0.35374522703722117
S000063124,First Trust IPOX Europe Equity Opportunities ETF,4,0,1,0.014452449115764805,0.7887159149781974
S000002139,T. Rowe Price Spectrum Conservative Allocation Fund,4,0,1,0.0030462013211982014,0.8033010067901065
S000046336,T. Rowe Price International Disciplined Equity Fund,3,0,1,0.04686295201413677,0.3530999656245697
S000054693,Global X Robotics & Artificial Intelligence ETF,4,0,1,0.08086525184537846,0.26961191208751084
S000002882,BlackRock Basic Value V.I. Fund,4,0,1,0.10699894726283325,0.6564126223631869
S000068124,JNL/Mellon Financial Sector Fund,4,0,1,0.004341080046858541,0.8170560159350853
S000004357,iShares 1-3 Year Treasury Bond ETF,2,0,1,0.004786086716696089,0.39373448769362773
S000058483,JNL/Mellon Consumer Staples Sector Fund,4,0,1,0.01131948493706604,0.4697811741238805
S000004634,PGIM Jennison Focused Value Fund,3,0,1,0.11997312306120982,0.6190251146061125
S000002137,T. Rowe Price Spectrum Moderate Allocation Fund,4,0,1,0.005148611721076421,0.8227760206993631
S000037257,PGIM Jennison International Opportunities Fund,4,0,1,0.03472421093031434,0.5905812904446784
S000004375,PGIM Global Total Return Fund,4,0,1,0.010862801824607615,0.8078908365896005
S000047983,T. Rowe Price Dynamic Global Bond Fund,4,0,1,0.12851333228199882,0.28627827444150644
S000006797,AST Multi-Asset Diversified Portfolio,4,0,1,0.042054249600473416,0.7827240495924793
S000000970,U.S. Targeted Value Portfolio,4,0,1,0.055172956466582046,0.8529687331015101
S000002923,VANGUARD GLOBAL CAPITAL CYCLES FUND,4,0,1,0.0238890077720324,0.7797121331215462
S000002166,T. Rowe Price QM U.S. Bond Index Fund,4,0,1,0.01779609531361399,0.7363298856452294
S000028139,Diversified Real Asset Fund,4,0,1,0.01698254901959418,0.8684218491563008
S000004403,INTERNATIONAL PORTFOLIO,3,0,1,0.0030328291116957957,0.15674142686014192
S000028302,Invesco S&P SmallCap Materials ETF,4,0,1,0.3107666207291623,0.7955108743350736
S000003206,HARTFORD HEALTHCARE HLS FUND,4,0,1,0.015397863998187907,0.8759798489314343
S000003866,BlackRock Global Allocation Portfolio,4,0,1,0.023942297233461446,0.6760278285163441
S000004392,REAL ESTATE INDEX PORTFOLIO,4,0,1,0.001653539421989946,0.7030919008414416
S000004398,DIVERSIFIED VALUE PORTFOLIO,3,0,1,0.004978862029467896,0.8299143019074557
S000015587,Fidelity Series Small Cap Opportunities Fund,4,0,1,0.03836419826224404,0.7878901668735259
S000004418,VANGUARD WINDSOR II FUND,4,0,1,0.002919372111349041,0.8958864263588564
S000005117,Fidelity Advisor Value Strategies Fund,4,0,1,0.06099682395268147,0.8065759483480446
S000035880,iShares MSCI Global Silver and Metals Miners ETF,4,0,1,0.13412561687347263,0.8879835490716722
S000064787,Fidelity Emerging Markets Multifactor ETF,4,0,1,0.011805289402092245,0.7814260317070373
S000037806,T. Rowe Price Global Value Equity Fund,4,0,1,0.056893664390682754,0.7657308029456068
S000045226,Payden Strategic Income Fund,4,0,1,0.011512167482442093,0.8858448959806018
S000004404,MID-CAP INDEX PORTFOLIO,4,0,1,0.0009217182703749571,0.0036522165384895032
S000064663,Invesco V.I. Main Street Fund,4,0,1,0.024539540997104908,0.47903203379879855
S000003850,Putnam International Capital Opportunities Fund,3,0,1,0.03090344140862245,0.22947206208235796
S000007471,Select Leisure Portfolio,4,0,1,0.06273350609946836,0.848439604464862
S000002160,T. Rowe Price Tax-Efficient Equity Fund,4,0,1,0.0073268628081451835,0.8851016087586183
S000004308,iShares S&P Mid-Cap 400 Growth ETF,4,0,1,0.06881709115813713,0.8978247792993705
S000070944,Centerstone Investors Fund,2,0,1,0.08655773957211307,0.6669280562878421
S000047032,Payden Absolute Return Bond Fund,4,0,1,0.010593401954913399,0.18197006448484507
S000002581,VANGUARD PRIMECAP CORE FUND,4,0,1,0.0023395150669438015,0.8825672097516372
S000036439,PGIM Jennison Global Opportunities Fund,4,0,1,0.03163544853307972,0.6869740796711381
S000007755,VIP Technology Portfolio,3,0,1,0.0034676000367872438,0.4713046435557793
S000080642,iShares iBonds 2030 Term High Yield and Income ETF,4,0,1,0.130466982962581,0.8782040864755284
S000081806,Fidelity Enhanced Large Cap Value ETF,4,0,1,0.009373243477744249,0.8458400037117159
S000042106,PGIM Jennison Global Infrastructure Fund,2,0,1,0.11677142765612808,0.5885993870518906
S000001744,JNL/WMC Balanced Fund,4,0,1,0.00973233812305337,0.7751686442756064
S000041598,Capital Securities Fund,4,0,1,0.0315108581732094,0.6697369125464804
S000001493,T. Rowe Price New Asia Fund,4,0,1,0.014751647040650007,0.5808452910852948
S000001489,T. Rowe Price International Bond Fund,4,0,1,0.007368644063196103,0.8901779304734306
S000004443,VANGUARD COMMUNICATION SERVICES INDEX FUND,4,0,1,0.005378148005574863,0.8849454345341045
S000011762,Payden Emerging Markets Bond Fund,4,0,1,0.012087606391363716,0.8598344172670588
S000014242,Core Fixed Income Fund,4,0,1,0.0034796465524489905,0.814047016080869
S000002843,VANGUARD LARGE-CAP INDEX FUND,4,0,1,0.0001560717598809983,0.27505607558028994
S000003863,BlackRock Balanced Portfolio,4,0,1,0.0074166488900774905,0.6591592872221672
S000069108,BlackRock Sustainable Aware Advantage Emerging Markets Equity Fund,3,0,1,0.0048707155767888696,0.7305099351247585
S000073784,Catholic Responsible Investments Small-Cap Fund,2,0,1,0.007304373123566474,0.655936222841482
S000079909,Xtrackers MSCI USA Climate Action Equity ETF,3,0,1,0.0005800878907840237,0.05299164470363932
S000050154,Invesco S&P 500 Momentum ETF,4,0,1,0.01314638857143771,0.7283474715501854
S000004380,PGIM Jennison Health Sciences Fund,4,0,1,0.06566391751631849,0.753400034746931
S000056619,JNL/Morningstar U.S. Sustainability Index Fund,4,0,1,0.0021181485121049156,0.43807038122942793
S000061260,iShares U.S. Tech Independence Focused ETF,4,0,1,0.004551376429907104,0.6768344428411205
S000002230,PSF PGIM Jennison Value Portfolio,4,0,1,0.06429511067736392,0.8159508247148938
S000025459,Transamerica Morgan Stanley Global Allocation VP,4,0,1,0.00837637186857005,0.8486116293924583
S000079836,T. Rowe Price International Equity ETF,4,0,1,0.0269321189226066,0.647545736676317
S000067560,iShares iBonds Dec 2025 Term Treasury ETF,1,0,1,0.09568440128370057,0.8037856895032585
S000003698,S&P 500 2x Strategy Fund,3,0,1,0.0055394581052911045,0.009174596850088739
S000002876,BlackRock Advantage Large Cap Core V.I. Fund,4,0,1,0.014761707528147497,0.8709361063273147
S000039055,T. Rowe Price Ultra Short-Term Bond Fund,3,0,1,0.0036137080362164155,0.646150104075762
S000000993,THE U.S. LARGE CAP VALUE SERIES,4,0,1,0.02079239811193967,0.880204035821059
S000030001,VANGUARD RUSSELL 1000 VALUE INDEX FUND,4,0,1,0.00046880000794755533,0.5435677024028732
S000092025,T. Rowe Price Natural Resources ETF,2,0,1,0.05624163283023608,0.8868949610073134
S000022678,Payden Managed Income Fund,4,0,1,0.020150888429606714,0.8414535413684308
S000002073,"T. Rowe Price Diversified Mid-Cap Growth Fund, Inc.",4,0,1,0.022334353123564923,0.8563953191791288
S000002880,BlackRock Equity Dividend V.I. Fund,4,0,1,0.05582354882097515,0.6636155287523929
S000004515,PGIM Jennison Natural Resources Fund,4,0,1,0.060272293226082685,0.8892524428525066
S000002579,VANGUARD EQUITY INCOME FUND,2,0,1,0.000841986515635155,0.014095915632126532
S000004703,PGIM Income Builder Fund,4,0,1,0.050539186832805796,0.7062080452731163
S000014011,VANGUARD HIGH DIVIDEND YIELD INDEX FUND,4,0,1,0.00023991089117589878,0.8105653124747981
S000079837,T. Rowe Price Small-Mid Cap ETF,4,0,1,0.01739903295526478,0.6542158365589569
S000023645,T. Rowe Price Global Growth Stock Fund,4,0,1,0.0639511063484641,0.7120593230286537
S000058493,JNL/Vanguard Moderate ETF Allocation Fund,4,0,1,0.1449404721204373,0.8768857980684919
S000002844,VANGUARD MID-CAP INDEX FUND,4,0,1,0.0009173807734345643,0.6932215298798353
S000002877,BlackRock Large Cap Focus Growth V.I. Fund,2,0,1,0.013601253124321009,0.889810188343785
S000002217,PSF PGIM Jennison Blend Portfolio,4,0,1,0.030427969581073702,0.7217378091629671
S000004444,VANGUARD U.S. GROWTH FUND,4,0,1,0.004151599415730147,0.7967763940157193
S000092022,T. Rowe Price Global Equity ETF,3,0,1,0.01576580311643218,0.6918833482037114
S000011763,Payden Global Fixed Income Fund,4,0,1,0.0023611338343396326,0.4231355245952675
S000079664,VanEck Robotics ETF,4,0,1,0.05592308206101452,0.8235731437600158
S000004689,PGIM Quant Solutions Small-Cap Value Fund,4,0,1,0.057548888179156696,0.7614147868489544
S000027872,Invesco V.I. Comstock Fund,4,0,1,0.10610647391758693,0.7655671739784714
S000004691,PGIM Core Bond Fund,4,0,1,0.02277091687660518,0.8590899420474244
S000003864,BlackRock Advantage Large Cap Core Portfolio,4,0,1,0.021213026557047904,0.4825061051265947
S000060841,Invesco Bloomberg Pricing Power ETF,4,0,1,0.10733048429676145,0.650306701353229
S000002879,BlackRock Advantage SMID Cap V.I. Fund,4,0,1,0.08541769358221143,0.8786671198548089
S000054752,Fidelity Momentum Factor ETF,4,0,1,0.023053509007145465,0.5391622644708547
S000068768,iShares 0-3 Month Treasury Bond ETF,4,0,1,0.01664597431481908,0.1660885788024632
S000005370,Nuveen Core Equity Fund,2,0,1,0.01717716599178082,0.7606191902880113
S000006791,AST Aggressive Asset Allocation Portfolio,4,0,1,0.015997270454402225,0.8714977645419991
S000068121,JNL/Mellon Communication Services Sector Fund,4,0,1,0.004745275180174672,0.6013383452073356
S000009172,EQ/International Value Managed Volatility Portfolio,4,0,0,0.057064936092307235,1.0526634629799683
S000012321,SPDR(R) S&P(R) Pharmaceuticals ETF,4,0,0,0.25602839334798466,1.002318613682127
S000048891,EQ/Goldman Sachs Moderate Growth Allocation Portfolio,4,0,0,0.0006129144649325834,1.0224725841475222
S000073567,WisdomTree Efficient Gold Plus Equity Strategy Fund,4,0,0,0.00656239181262015,1.0075417008404834
S000045542,AB Small Cap Value Portfolio,4,0,0,0.037658528203316194,1.0271592836576866
S000004320,iShares U.S. Consumer Discretionary ETF,4,0,0,0.023195121769806943,1.0356574719927407
S000005533,Wilmington Broad Market Bond Fund,4,0,0,0.032038514388794244,1.0367431566430987
S000007489,Select Wireless Portfolio,4,0,0,0.14441805675681604,1.0282774780941404
S000017692,Fidelity New Markets Income Fund,2,0,0,0.00888452961911515,1.0175987907579356
S000018301,Goldman Sachs Emerging Markets Equity Insights Fund,4,0,0,0.005852488848660376,1.0321038973252696
S000048689,Pacer Trendpilot US Large Cap ETF,3,0,0,0.023822247181919515,0.9994459213621878
S000055738,Goldman Sachs GQG Partners International Opportunities Fund,4,0,0,0.00967730317003204,1.0205425599562894
S000058422,Xtrackers Short Duration High Yield Bond ETF,4,0,0,0.07001569213341548,1.0387937009572963
S000065293,Roundhill Video Games ETF,3,0,0,0.09555611060791136,0.9848484848484848
S000072320,Invesco S&P SmallCap 600 QVM Multi-Factor ETF,4,0,0,0.19526115283654605,1.0236396834950137
S000075473,iShares iBonds 2029 Term High Yield and Income ETF,4,0,0,0.19214952205446192,1.0223143274531816
S000082205,iShares LifePath Target Date 2055 ETF,4,0,0,0.056425273232004435,1.0120898060828614
S000007140,Lord Abbett International Equity Fund,3,0,0,0.008711210378521513,1.0500692091069639
S000012222,Russell 2000 Fund,3,0,0,0.09266303015390243,0.9941102851769751
S000032768,Invesco S&P 500 GARP ETF,4,0,0,0.05027785716852746,1.0201956529477916
S000048110,Global X MSCI SuperDividend Emerging Markets ETF,3,0,0,0.057660134261259155,1.0599064060092425
S000054767,Principal Spectrum Preferred Securities Active ETF,4,0,0,0.03054000830586286,1.0142773787986785
S000059086,VANGUARD REAL ESTATE II INDEX FUND,4,0,0,0.002454324739947492,1.0889026744924952
S000059775,Empower Inflation-Protected Securities Fund,4,0,0,0.0008856216592499065,1.022896738358637
